,names_2,link_CU,research_interest,pernames,subfaculty,faculty
364,Jiangtao Wang,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,"Research Interests: Ubiquitous computing, Mobile crowdsensing/crowdsroucing, Digital Health,  Internet of Things.",Jiangtao Wang,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
365,Jun Wang,https://pureportal.coventry.ac.uk/en/persons/jun-wang,Research Interests: Dividend Policy; Board Structure; Capital Structure; Ownership Structure; Earnings Management; Seasoned Equity Offering,Jun Wang,"School of Economics, Finance and Accounting",Faculty of Business & Law
366,Lin Wang,https://pureportal.coventry.ac.uk/en/persons/lin-wang,Research Interests: ,Lin Wang,Institute for Future Transport and Cities,"Faculty of Engineering, Environment & Computing"
367,Xingang Wang,https://pureportal.coventry.ac.uk/en/persons/xingang-wang,"Research Interests: Time sensitive networking, Grid, Cloud, Fog computing, Clustering, P2P and Web Service; Security and QoS in Computer Networks; MAC protocols and Integration of Computer Networks; Performance Modelling/Evaluation of Computer Networks; Mesh networks, Sensor networks, IEEE 802.11, IEEE 802.15 and IEEE 802.16",Xingang Wang,Faculty Research Centre for Data Science,"Faculty of Engineering, Environment & Computing"
368,Petra Wark,https://pureportal.coventry.ac.uk/en/persons/petra-wark,"Research Interests: Efficacy and effectiveness of digital health technologies in primary and secondary chronic disease prevention; and methodological aspects thereofValidation, evaluation and assessment of diet, lifestyle, wellbeing and health status using new digital technologies (including other aspects of health)Additional insight gained from the additional data that digital health technologies provide, how to make use of the new technologies and embed them in practiceNutritional and chronic disease epidemiologyInterdisciplinary and innovation research projects",Petra Wark,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
369,Frank Warwick,https://pureportal.coventry.ac.uk/en/persons/frank-warwick,"Research Interests: Sustainable drainage, flooding, water quality and quantity management; Climate change adaptation and mitigation ; Tropical ecology",Frank Warwick,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
370,Kevin Warwick,https://pureportal.coventry.ac.uk/en/persons/kevin-warwick,"Research Interests: Cyborgs; Control
; Robotics
; Biomedical systems 
; Artificial intelligence",Kevin Warwick,Faculty Research Centre for Data Science,"Faculty of Engineering, Environment & Computing"
371,David Waugh,https://pureportal.coventry.ac.uk/en/persons/david-waugh,Research Interests: Adhesion; Dynamics; Surface Engineering; Statics and Mechanics; Laser material processing; Wettability Characteristics,,,
372,Ian Webster,https://pureportal.coventry.ac.uk/en/persons/ian-webster,"Research Interests: Marketing; Event Management; Sports Marketing; Sport Management; Services Marketing; Relationship Marketing; Event, Tourism and Hospitality Marketing",Ian Webster,School of Marketing and Management,Faculty of Business & Law
373,Martin Weigel,https://pureportal.coventry.ac.uk/en/persons/martin-weigel,"Research Interests: Advancement of Monte Carlo methodology; Geometric disorder from fractal random graphs; Annealed disorder and dynamical triangulations; Nucleation and domain growth in random systems; Monte Carlo simulations without detailed balance; Complex magnetic materials: spin glasses and random fields; Modelling social systems in the framework of statistical mechanics; Amplitude-exponent relations for three-dimensional O(n) spin models; Harvesting GPU computational power for simulations of lattice spin models
; Heuristic optimisation and Monte Carlo simulation for complex energy landscapes",Martin Weigel,"Faculty of Engineering, Environment & Computing","Faculty of Engineering, Environment & Computing"
374,Lyle Weir,https://pureportal.coventry.ac.uk/en/persons/lyle-weir,Research Interests: psychology creative writing literary criticism pedagogical research,Lyle Weir,School of Humanities,Faculty of Arts & Humanities
375,Maxine Whelan,https://pureportal.coventry.ac.uk/en/persons/maxine-whelan,Research Interests: Digital health technologies; prevention and management of long-term conditions; physical activity measurement; physical activity promotion; behaviour change; self-monitoring; feedback,Maxine Whelan,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
376,Laura Joanne Wilde,https://pureportal.coventry.ac.uk/en/persons/laura-joanne-wilde,"Research Interests: My research interests include health, chronic illness, behaviour change, physical activity and technology. ",Laura Joanne Wilde,"Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences
377,Sharon Williams,https://pureportal.coventry.ac.uk/en/persons/sharon-williams,Research Interests: Enzymes mechanisms and protein structure,Sharon Williams,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
378,Stefanie Williams,https://pureportal.coventry.ac.uk/en/persons/stefanie-williams,"Research Interests: Physical Activity and walking
; Health behaviour intervention development
; Psychological mediators of behaviour change",Stefanie Williams,School of Life Sciences,Faculty of Health & Life Sciences
379,Tom Williams,https://pureportal.coventry.ac.uk/en/persons/tom-williams,"Research Interests:  
Electroacoustic Music compositionMusic Composition (e.g. instrumental, vocal and experitmental electronic)Acousmatic MusicSonic Art and Sound InstallationSound SpatialisationAesthetics and analysis of contemporary music 
 ",Tom Williams,School of Media and Performing Arts,Faculty of Arts & Humanities
380,Tom Williamson,https://pureportal.coventry.ac.uk/en/persons/tom-williamson,Research Interests: Innovation in pedagogy; Entrepreneurship Education; Enterprise and Entrepreneurship; Small and Micro Business Management,Tom Williamson,"School of Economics, Finance and Accounting",Faculty of Business & Law
381,Bianca Wright,https://pureportal.coventry.ac.uk/en/persons/bianca-wright,Research Interests: immersive technologies; virtual reality; augmented reality; immersive media; Game studies ; Digital media ; Digital identities ; Journalism practice ; Gamification of news ; Digital storytelling ; Gamification of education,Bianca Wright,School of Media and Performing Arts,Faculty of Arts & Humanities
382,Julia Wright,https://pureportal.coventry.ac.uk/en/persons/julia-wright,"Research Interests: Chiefly: Subtle Agroecologies - farming with the hidden half of nature. This is a new discipline that focuses on the invisible dimension of nature in relation to agriculture. It is exploratory, whilst drawing from indigenous practises as well as those from the biodynamic farming system. 
Also: Cuban farming and food systems; Agriculture and human nutrition; Regenerative agriculture and permaculture; Eco-psychology, green ecology and traditional knowledge systems; Stabilisation Agriculture: Building environmental and social resilience to natural and man-made disasters",,,
383,Liang Wu,https://pureportal.coventry.ac.uk/en/persons/liang-wu,Research Interests: Applied Electrochmistry; Electrochemical deposition; Surface Engineering; Surface Modification of Materials; Materials Characterisation; Microscopy Techniques; Electrolysis process; Hydrogen Energy,,,
384,Kerry Wykes,https://pureportal.coventry.ac.uk/en/persons/kerry-wykes,Research Interests: Wellbeing of Healthcare Workers; Arts and Creativity for Health & Wellbeing; Emergency Care; LGBT health; Domestic abuse,Kerry Wykes,"School of Nursing, Midwifery and Health",Faculty of Health & Life Sciences
385,Martyn Wyres,https://pureportal.coventry.ac.uk/en/persons/martyn-wyres,Research Interests: Simulation in TeachingOnline digital pedagogyClinical placement preperation Inter Professional Education and SimulationGamification in online learning,Martyn Wyres,School of Life Sciences,Faculty of Health & Life Sciences
386,Yuhang Xu,https://pureportal.coventry.ac.uk/en/persons/yuhang-xu,Research Interests: Signal processing; Electrophysiology; Healthcare application; Clinical tool innovation,Yuhang Xu,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences
387,Mira Yaneva,https://pureportal.coventry.ac.uk/en/persons/mira-yaneva,"Research Interests: 
Forensic, Investigative and Positive Psychology; 

Individual offender characteristics (i.e. personality and crime, character strengths and crime; mental illness and crime; individual differences in offenders); 

Modelling of offender types and styles; 

Offender rehabilitation (i.e. strength-based approaches; strength-based programmes and interventions; effectiveness of current programmes); 
Risk assessment and protective factors
Development and validation of new instruments;

Contract killers, instigators/solicitors of crime, victims of murder-for-hire plots
",Mira Yaneva,"School of Nursing, Midwifery and Health",Faculty of Health & Life Sciences
